transaction_id,customer_name,product_name,category,quantity,unit_price,branch,payment_type,card_number,timestamp
5006,Emily Clark,Elgato 4K Streaming Card,Accessories,1,249,Ealing,Debit,60498498.0,2025/12/10 09:31
5006,Emily Clark,Nintendo Switch 2,Gaming,2,399,Ealing,Debit,60498498.0,2025/12/10 09:31
5006,Emily Clark,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Ealing,Debit,60498498.0,2025/12/10 09:31
5007,Johnny Reed,Samsung Galaxy S25 Ultra,Phones,2,1199,Camden,Cash,,2025/12/10 09:32
5007,Johnny Reed,Sony A7V Camera,Cameras,1,2499,Camden,Cash,,2025/12/10 09:32
5007,Johnny Reed,Nvidia RTX 5090 GPU,PC Components,1,1999,Camden,Cash,,2025/12/10 09:32
5007,Johnny Reed,Canon EOS R9,Cameras,1,1999,Camden,Cash,,2025/12/10 09:32
5008,John Smith,Dell XPS 14 OLED 2025,Laptops,1,1899,Ealing,Card,90854418.0,10-12-25 09:37
5008,,Dell XPS 14 OLED 2025,Laptops,1,1899,Ealing,Card,,10-12-25 09:37
5008,John Smith,Apple Watch X,Wearables,2,799,Ealing,Card,90854418.0,10-12-25 09:37
5009,Jacob Stone,PlayStation 5 Pro Console,Gaming,2,699,Ealing,Debit,1325072.0,10-12-25 09:43
5010,Alice Moore,Bose QuietComfort Ultra,Audio,2,349,Camden,Cash,,10/12/2025 09:50
5010,Alice Moore,MacBook Air M4,Laptops,1,1599,Camden,Cash,,10/12/2025 09:50
5011,John Smith,Nvidia RTX 5090 GPU,PC Components,2,1999,Ealing,Cash,,2025/12/10 09:57
5011,John Smith,PlayStation 5 Pro Console,Gaming,2,699,Ealing,Cash,,2025/12/10 09:57
5012,,Sony A7V Camera,Cameras,2,2499,Oxford,Card,91561923.0,10/12/2025 10:04
5013,Alice Moore,Dyson V16 Vacuum,Appliances,1,699,Soho,Cash,,10-12-25 10:10
5014,Emily Clark,iPhone 17 Pro Max,Phones,1,1299,Ealing,Cash,,10/12/2025 10:17
5015,Johnny Reed,Bose QuietComfort Ultra,Audio,2,349,Ealing,Debit,62858216.0,10-12-25 10:21
5015,Johnny Reed,Sony WH‑1000XM7,Audio,1,399,Ealing,Debit,62858216.0,10-12-25 10:21
5015,Johnny Reed,Elgato 4K Streaming Card,Accessories,1,249,Ealing,Debit,62858216.0,10-12-25 10:21
5015,Johnny Reed,Meta Quest 4 VR Headset,VR,2,499,Ealing,Debit,62858216.0,10-12-25 10:21
5016,,Samsung Galaxy S25 Ultra,Phones,2,1199,Ealing,Credit,66644200.0,10-12-25 10:22
5016,Leo Jones,Dyson V16 Vacuum,Appliances,2,699,Ealing,Credit,66644200.0,10-12-25 10:22
5016,Leo Jones,Canon EOS R9,Cameras,1,1999,Ealing,Credit,66644200.0,10-12-25 10:22
5017,Jacob Stone,Samsung QD‑OLED S95D 55-inch,TV,2,1999,Ealing,Card,,10/12/2025 10:25
5017,Jacob Stone,Sony A7V Camera,Cameras,2,2499,Ealing,Card,4872902.0,10/12/2025 10:25
5018,Lisa Wong,Sony WH‑1000XM7,Audio,2,399,Ealing,Cash,,10-12-25 10:33
5019,Mark Davies,Xbox Series X2,Gaming,1,649,Oxford,Card,44961528.0,2025-12-10 10:34
5019,Mark Davies,Sony WH‑1000XM7,Audio,2,399,Oxford,Card,44961528.0,2025-12-10 10:34
5019,Mark Davies,Sony A7V Camera,Cameras,2,2499,Oxford,Card,44961528.0,2025-12-10 10:34
5020,Tom Brown,MacBook Pro M4 Pro,Laptops,2,2499,Camden,Card,79819730.0,10-12-25 10:35
5020,Tom Brown,Sony WH‑1000XM7,Audio,2,399,Camden,Card,79819730.0,10-12-25 10:35
5021,,PlayStation 5 Pro Console,Gaming,2,699, Soho ,Cash,,10/12/2025 10:45
5021,,PlayStation 5 Pro Console,Gaming,2,699, Soho ,Cash,,10/12/2025 10:45
5022,Jacob Stone,Apple Watch X,Wearables,1,799,Camden,Debit,93248279.0,10/12/2025 10:51
5022,Jacob Stone,Meta Quest 4 VR Headset,VR,1,499,Camden,Debit,93248279.0,10/12/2025 10:51
5022,Jacob Stone,Google Pixel 10 Pro,Phones,1,999,Camden,Debit,93248279.0,10/12/2025 10:51
5023,Emily Clark,Meta Quest 4 VR Headset,VR,1,499, Oxford ,Debit,,10/12/2025 10:59
5023,,iPhone 17 Pro Max,Phones,1,1299, Oxford ,Debit,69362923.0,10/12/2025 10:59
5023,Emily Clark,iPhone 17 Pro Max,Phones,1,1299, Oxford ,Debit,69362923.0,10/12/2025 10:59
5023,Emily Clark,Xbox Series X2,Gaming,2,649, Oxford ,Debit,69362923.0,10/12/2025 10:59
5024,Alice Moore,MacBook Pro M4 Pro,Laptops,2,2499,Oxford,Debit,55363085.0,2025/12/10 11:08
5024,Alice Moore,Google Pixel 10 Pro,Phones,1,999,Oxford,Debit,55363085.0,2025/12/10 11:08
5024,,USB‑C 240W Cable,Accessories,2,29,Oxford,Debit,55363085.0,2025/12/10 11:08
5024,Alice Moore,Dyson V16 Vacuum,Appliances,2,699,Oxford,Debit,55363085.0,2025/12/10 11:08
5025,Jacob Stone,Sony A7V Camera,Cameras,1,2499,Camden,Cash,,10-12-25 11:17
5025,Jacob Stone,PlayStation 5 Pro Console,Gaming,1,699,Camden,Cash,,10-12-25 11:17
5025,,MacBook Pro M4 Pro,Laptops,1,2499,Camden,Cash,,10-12-25 11:17
5026,Alex Li,Meta Quest 4 VR Headset,VR,1,499,Oxford,Card,97079049.0,2025-12-10 11:20
5027,,Portable SSD 4TB Gen4,Storage,2,249,Oxford,Debit,21641430.0,10-12-25 11:25
5027,,Portable SSD 4TB Gen4,Storage,2,249,Oxford,Debit,21641430.0,10-12-25 11:25
5028,,Bose QuietComfort Ultra,Audio,1,349,Oxford,Cash,,2025/12/10 11:35
5028,,Bose QuietComfort Ultra,Audio,1,349,Oxford,Cash,,2025/12/10 11:35
5028,,Elgato 4K Streaming Card,Accessories,2,249,Oxford,Cash,,2025/12/10 11:35
5028,,USB‑C 240W Cable,Accessories,1,29,Oxford,Cash,,2025/12/10 11:35
5029,Lisa Wong,iPhone 17 Pro Max,Phones,1,1299,Soho,Credit,59014395.0,10/12/2025 11:42
5030,Leo Jones,MacBook Pro M4 Pro,Laptops,1,2499,Ealing,Card,81047924.0,2025-12-10 11:48
5030,Leo Jones,iPhone 17 Pro Max,Phones,2,1299,Ealing,Card,81047924.0,2025-12-10 11:48
5030,Leo Jones,Portable SSD 4TB Gen4,Storage,2,249,Ealing,Card,81047924.0,2025-12-10 11:48
5030,Leo Jones,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Ealing,Card,81047924.0,2025-12-10 11:48
5031,Alice Moore,Bose QuietComfort Ultra,Audio,1,349,Ealing,Credit,74323652.0,2025/12/10 11:53
5031,Alice Moore,USB‑C 240W Cable,Accessories,2,29,Ealing,Credit,74323652.0,2025/12/10 11:53
5031,Alice Moore,PlayStation 5 Pro Console,Gaming,2,699,Ealing,Credit,74323652.0,2025/12/10 11:53
5031,Alice Moore,Nvidia RTX 5090 GPU,PC Components,2,1999,Ealing,Credit,74323652.0,2025/12/10 11:53
5032,Leo Jones,Google Pixel 10 Pro,Phones,1,999,Oxford,Debit,12457449.0,2025/12/10 11:54
5032,Leo Jones,Elgato 4K Streaming Card,Accessories,2,249,Oxford,Debit,12457449.0,2025/12/10 11:54
5032,Leo Jones,Google Pixel 10 Pro,Phones,2,999,Oxford,Debit,12457449.0,2025/12/10 11:54
5033,Johnny Reed,Dyson V16 Vacuum,Appliances,2,699,Camden,Cash,,10/12/2025 11:56
5033,Johnny Reed,Google Pixel 10 Pro,Phones,2,999,Camden,Cash,,10/12/2025 11:56
5033,Johnny Reed,PlayStation 5 Pro Console,Gaming,1,699,Camden,Cash,,10/12/2025 11:56
5033,Johnny Reed,Google Pixel 10 Pro,Phones,2,999,Camden,Cash,,10/12/2025 11:56
5034,,Sony A7V Camera,Cameras,1,2499,Ealing,Cash,,10-12-25 12:02
5035,James White,LG OLED Evo G5 65-inch,TV,2,2499,Soho,Cash,,2025-12-10 12:04
5036,Alex Li,Xbox Series X2,Gaming,1,649,Camden,Cash,,2025-12-10 12:05
5036,Alex Li,Nintendo Switch 2,Gaming,1,399,Camden,Cash,,2025-12-10 12:05
5037,Leo Jones,Dell XPS 14 OLED 2025,Laptops,2,1899,SoHo,Debit,41906843.0,2025-12-10 12:09
5038,,Samsung Galaxy S25 Ultra,Phones,2,1199,CamDn,Credit,3773943.0,10-12-25 12:10
5038,Johnny Reed,Nvidia RTX 5090 GPU,PC Components,1,1999,CamDn,Credit,3773943.0,10-12-25 12:10
5039,Johnny Reed,MacBook Air M4,Laptops,1,1599,,Credit,52693836.0,10/12/2025 12:20
5039,Johnny Reed,MacBook Pro M4 Pro,Laptops,2,2499,Ealing,Credit,52693836.0,10/12/2025 12:20
5039,Johnny Reed,Nintendo Switch 2,Gaming,2,399,Ealing,Credit,52693836.0,10/12/2025 12:20
5040,Leo Jones,Samsung Galaxy S25 Ultra,Phones,2,1199,Oxford,Cash,,10-12-25 12:27
5041,Sarah Mills,Sony A7V Camera,Cameras,2,2499,Soho,Credit,69709335.0,2025/12/10 12:32
5041,Sarah Mills,Xbox Series X2,Gaming,2,649,Soho,Credit,69709335.0,2025/12/10 12:32
5041,Sarah Mills,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Soho,Credit,69709335.0,2025/12/10 12:32
5041,Sarah Mills,Apple Watch X,Wearables,2,799,Soho,Credit,69709335.0,2025/12/10 12:32
5042,Johnny Reed,Xbox Series X2,Gaming,1,649,Ealing,Debit,23632832.0,2025-12-10 12:40
5043,Sarah Mills,Google Pixel 10 Pro,Phones,1,999,Camden,Cash,,2025/12/10 12:42
5043,Sarah Mills,Apple Watch X,Wearables,1,799,Camden,Cash,,2025/12/10 12:42
5043,Sarah Mills,Sony A7V Camera,Cameras,1,2499,Camden,Cash,,2025/12/10 12:42
5044,,Bose QuietComfort Ultra,Audio,1,349,,Cash,,2025/12/10 12:51
5044,,Canon EOS R9,Cameras,2,1999,Ealing,Cash,,2025/12/10 12:51
5044,,Samsung Galaxy S25 Ultra,Phones,2,1199,Ealing,Cash,,2025/12/10 12:51
5045,Tom Brown,Portable SSD 4TB Gen4,Storage,2,249,,Debit,82904314.0,10-12-25 12:59
5046,Alice Moore,iPhone 17 Pro Max,Phones,1,1299,Soho,Card,81859335.0,2025/12/10 13:08
5046,Alice Moore,Sony WH‑1000XM7,Audio,2,399,Soho,Card,81859335.0,2025/12/10 13:08
5046,,Meta Quest 4 VR Headset,VR,2,499,Soho,Card,81859335.0,2025/12/10 13:08
5047,Lisa Wong,Meta Quest 4 VR Headset,VR,2,499,Ealing,Debit,48841803.0,10-12-25 13:12
5047,Lisa Wong,Elgato 4K Streaming Card,Accessories,1,249,Ealing,Debit,48841803.0,10-12-25 13:12
5047,Lisa Wong,Samsung Galaxy S25 Ultra,Phones,1,1199,Ealing,Debit,48841803.0,10-12-25 13:12
5048,Jacob Stone,iPhone 17 Pro Max,Phones,1,1299,Soho,Cash,,10/12/2025 13:16
5049,Jacob Stone,Nintendo Switch 2,Gaming,1,399,SoHo,Card,73513638.0,10/12/2025 13:26
5049,Jacob Stone,Elgato 4K Streaming Card,Accessories,2,249,SoHo,Card,73513638.0,10/12/2025 13:26
5049,Jacob Stone,Samsung QD‑OLED S95D 55-inch,TV,2,1999,,Card,73513638.0,10/12/2025 13:26
5049,Jacob Stone,MacBook Air M4,Laptops,1,1599,SoHo,Card,73513638.0,10/12/2025 13:26
5050,Sarah Mills,Meta Quest 4 VR Headset,VR,2,499,Ealing,Card,28254369.0,10/12/2025 13:30
5050,Sarah Mills,Nintendo Switch 2,Gaming,2,399,Ealing,Card,28254369.0,10/12/2025 13:30
5050,Sarah Mills,Meta Quest 4 VR Headset,VR,2,499,Ealing,Card,28254369.0,10/12/2025 13:30
5051,Tom Brown,LG OLED Evo G5 65-inch,TV,2,2499,Soho,Credit,35499308.0,10/12/2025 13:39
5051,Tom Brown,Sony A7V Camera,Cameras,1,2499,Soho,Credit,35499308.0,10/12/2025 13:39
5051,Tom Brown,Canon EOS R9,Cameras,2,1999,Soho,Credit,35499308.0,10/12/2025 13:39
5052,James White,Nvidia RTX 5090 GPU,PC Components,1,1999,Camden,Debit,85489863.0,2025/12/10 13:44
5053,Alice Moore,Nvidia RTX 5090 GPU,PC Components,2,1999,Oxford,Card,31564320.0,2025-12-10 13:48
5053,Alice Moore,Portable SSD 4TB Gen4,Storage,2,249,Oxford,Card,31564320.0,2025-12-10 13:48
5054,Mark Davies,Dell XPS 14 OLED 2025,Laptops,2,1899,Ealing,Debit,29681923.0,10-12-25 13:55
5055,James White,Meta Quest 4 VR Headset,VR,1,499,Camden,Cash,,2025-12-10 14:05
5055,,Dyson V16 Vacuum,Appliances,2,699,Camden,Cash,,2025-12-10 14:05
5055,James White,PlayStation 5 Pro Console,Gaming,1,699,Camden,Cash,,2025-12-10 14:05
5055,James White,Nvidia RTX 5090 GPU,PC Components,1,1999,Camden,Cash,,2025-12-10 14:05
5056,Jacob Stone,Xbox Series X2,Gaming,1,649,CamDn,Credit,86221748.0,2025-12-10 14:12
5056,Jacob Stone,Dyson V16 Vacuum,Appliances,2,699,CamDn,Credit,86221748.0,2025-12-10 14:12
5057,Mark Davies,iPhone 17 Pro Max,Phones,2,1299,Soho,Cash,,2025/12/10 14:19
5057,Mark Davies,iPhone 17 Pro Max,Phones,1,1299,Soho,Cash,,2025/12/10 14:19
5057,Mark Davies,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Soho,Cash,,2025/12/10 14:19
5057,Mark Davies,Canon EOS R9,Cameras,1,1999,Soho,Cash,,2025/12/10 14:19
5058,Johnny Reed,MacBook Air M4,Laptops,1,1599, Soho ,Card,91829280.0,10-12-25 14:21
5058,Johnny Reed,Sony A7V Camera,Cameras,1,2499, Soho ,Card,91829280.0,10-12-25 14:21
5058,Johnny Reed,USB‑C 240W Cable,Accessories,1,29, Soho ,Card,91829280.0,10-12-25 14:21
5058,Johnny Reed,Portable SSD 4TB Gen4,Storage,1,249, Soho ,Card,91829280.0,10-12-25 14:21
5059,Mia Johnson,USB‑C 240W Cable,Accessories,2,29,Soho,Cash,,10-12-25 14:25
5059,Mia Johnson,USB‑C 240W Cable,Accessories,2,29,Soho,Cash,,10-12-25 14:25
5059,Mia Johnson,PlayStation 5 Pro Console,Gaming,1,699,Soho,Cash,,10-12-25 14:25
5059,Mia Johnson,MacBook Pro M4 Pro,Laptops,2,2499,,Cash,,10-12-25 14:25
5060,Jacob Stone,MacBook Air M4,Laptops,1,1599,Camden,Credit,99666561.0,10-12-25 14:33
5060,Jacob Stone,Elgato 4K Streaming Card,Accessories,2,249,,Credit,99666561.0,10-12-25 14:33
5061,James White,Xbox Series X2,Gaming,2,649,Ealing,Debit,,10-12-25 14:42
5061,James White,Google Pixel 10 Pro,Phones,1,999,Ealing,Debit,83286032.0,10-12-25 14:42
5061,James White,Samsung Galaxy S25 Ultra,Phones,1,1199,Ealing,Debit,83286032.0,10-12-25 14:42
5061,James White,USB‑C 240W Cable,Accessories,2,29,Ealing,Debit,83286032.0,10-12-25 14:42
5062,Mark Davies,Samsung QD‑OLED S95D 55-inch,TV,2,1999,Soho,Cash,,2025-12-10 14:47
5063,Tom Brown,Sony WH‑1000XM7,Audio,2,399, Soho ,Card,46201003.0,10/12/2025 14:52
5064,Jacob Stone,Elgato 4K Streaming Card,Accessories,1,249,Camden,Credit,63958773.0,10/12/2025 14:56
5064,,Dell XPS 14 OLED 2025,Laptops,1,1899,Camden,Credit,63958773.0,10/12/2025 14:56
5064,Jacob Stone,Samsung QD‑OLED S95D 55-inch,TV,1,1999,,Credit,63958773.0,10/12/2025 14:56
5065,Leo Jones,Dyson V16 Vacuum,Appliances,1,699,Oxford,Cash,,10-12-25 15:00
5065,Leo Jones,Dyson V16 Vacuum,Appliances,2,699,Oxford,Cash,,10-12-25 15:00
5066,Jacob Stone,Dell XPS 14 OLED 2025,Laptops,2,1899,SoHo,Debit,45453052.0,2025-12-10 15:04
5066,Jacob Stone,Nvidia RTX 5090 GPU,PC Components,1,1999,SoHo,Debit,45453052.0,2025-12-10 15:04
5066,Jacob Stone,Bose QuietComfort Ultra,Audio,2,349,SoHo,Debit,45453052.0,2025-12-10 15:04
5067,,Dyson V16 Vacuum,Appliances,2,699,Soho,Cash,,2025-12-10 15:13
5067,,Meta Quest 4 VR Headset,VR,1,499,Soho,Cash,,2025-12-10 15:13
5067,,Nvidia RTX 5090 GPU,PC Components,1,1999,Soho,Cash,,2025-12-10 15:13
5068,Sarah Mills,Portable SSD 4TB Gen4,Storage,2,249, Camden ,Card,91996321.0,10-12-25 15:16
5068,Sarah Mills,Nintendo Switch 2,Gaming,2,399, Camden ,Card,91996321.0,10-12-25 15:16
5069,,Meta Quest 4 VR Headset,VR,2,499,Ealing,Cash,,10-12-25 15:26
5069,,Samsung Galaxy S25 Ultra,Phones,1,1199,Ealing,Cash,,10-12-25 15:26
5069,,Sony WH‑1000XM7,Audio,1,399,Ealing,Cash,,10-12-25 15:26
5070,John Smith,Elgato 4K Streaming Card,Accessories,2,249,Camden,Credit,60807532.0,2025-12-10 15:35
5071,James White,Samsung Galaxy S25 Ultra,Phones,1,1199,Oxford,Debit,21461655.0,10/12/2025 15:39
5071,James White,Nintendo Switch 2,Gaming,2,399,Oxford,Debit,21461655.0,10/12/2025 15:39
5072,John Smith,Apple Watch X,Wearables,2,799,Ealing,Debit,16863957.0,2025-12-10 15:46
5073,Leo Jones,Sony A7V Camera,Cameras,2,2499,Oxford,Cash,,2025-12-10 15:52
5073,Leo Jones,LG OLED Evo G5 65-inch,TV,2,2499,Oxford,Cash,,2025-12-10 15:52
5073,Leo Jones,Meta Quest 4 VR Headset,VR,2,499,Oxford,Cash,,2025-12-10 15:52
5074,Lisa Wong,Dyson V16 Vacuum,Appliances,1,699,Ealing,Credit,24923026.0,2025/12/10 15:59
5074,Lisa Wong,LG OLED Evo G5 65-inch,TV,2,2499,Ealing,Credit,,2025/12/10 15:59
5075,Leo Jones,Samsung QD‑OLED S95D 55-inch,TV,1,1999, Oxford ,Debit,36302670.0,2025-12-10 16:08
5075,Leo Jones,Apple Watch X,Wearables,2,799, Oxford ,Debit,36302670.0,2025-12-10 16:08
5075,Leo Jones,Meta Quest 4 VR Headset,VR,2,499, Oxford ,Debit,36302670.0,2025-12-10 16:08
5075,Leo Jones,Elgato 4K Streaming Card,Accessories,1,249, Oxford ,Debit,36302670.0,2025-12-10 16:08
5076,Tom Brown,Nvidia RTX 5090 GPU,PC Components,2,1999,Camden,Credit,60466484.0,10/12/2025 16:15
5076,Tom Brown,Dell XPS 14 OLED 2025,Laptops,2,1899,Camden,Credit,60466484.0,10/12/2025 16:15
5076,Tom Brown,Nintendo Switch 2,Gaming,2,399,Camden,Credit,60466484.0,10/12/2025 16:15
5077,Leo Jones,Sony WH‑1000XM7,Audio,1,399,Oxford,Credit,89685159.0,10/12/2025 16:16
5077,Leo Jones,Dell XPS 14 OLED 2025,Laptops,2,1899,Oxford,Credit,,10/12/2025 16:16
5078,,Apple Watch X,Wearables,2,799,Camden,Cash,,2025-12-10 16:24
5078,,Nvidia RTX 5090 GPU,PC Components,1,1999,Camden,Cash,,2025-12-10 16:24
5078,,Canon EOS R9,Cameras,1,1999,Camden,Cash,,2025-12-10 16:24
5079,Lisa Wong,PlayStation 5 Pro Console,Gaming,1,699,Ealing,Card,57679425.0,2025-12-10 16:30
5079,Lisa Wong,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Ealing,Card,57679425.0,2025-12-10 16:30
5079,Lisa Wong,iPhone 17 Pro Max,Phones,1,1299,,Card,57679425.0,2025-12-10 16:30
5080,,Sony A7V Camera,Cameras,2,2499,Ealing,Debit,20604057.0,10-12-25 16:32
5080,,Samsung Galaxy S25 Ultra,Phones,2,1199,Ealing,Debit,20604057.0,10-12-25 16:32
5080,,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Ealing,Debit,20604057.0,10-12-25 16:32
5081,James White,MacBook Air M4,Laptops,2,1599,Camden,Credit,59023286.0,2025-12-10 16:38
5081,James White,Samsung Galaxy S25 Ultra,Phones,1,1199,Camden,Credit,59023286.0,2025-12-10 16:38
5082,,Portable SSD 4TB Gen4,Storage,2,249,Soho,Credit,7135620.0,2025/12/10 16:48
5083,Alex Li,MacBook Pro M4 Pro,Laptops,2,2499,Oxford,Cash,,2025/12/10 16:57
5083,Alex Li,MacBook Pro M4 Pro,Laptops,2,2499,Oxford,Cash,,2025/12/10 16:57
5083,Alex Li,Nvidia RTX 5090 GPU,PC Components,1,1999,Oxford,Cash,,2025/12/10 16:57
5084,Emily Clark,Apple Watch X,Wearables,1,799,,Debit,50217540.0,10-12-25 17:05
5084,Emily Clark,Apple Watch X,Wearables,2,799,Ealing,Debit,50217540.0,10-12-25 17:05
5084,Emily Clark,Sony WH‑1000XM7,Audio,2,399,Ealing,Debit,50217540.0,10-12-25 17:05
5084,Emily Clark,MacBook Pro M4 Pro,Laptops,1,2499,Ealing,Debit,50217540.0,10-12-25 17:05
5085,Johnny Reed,Samsung Galaxy S25 Ultra,Phones,2,1199,Camden,Debit,46612928.0,2025-12-10 17:09
5085,Johnny Reed,Portable SSD 4TB Gen4,Storage,2,249,Camden,Debit,46612928.0,2025-12-10 17:09
5085,Johnny Reed,Nvidia RTX 5090 GPU,PC Components,2,1999,Camden,Debit,46612928.0,2025-12-10 17:09
5086,Tom Brown,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Camden,Debit,76075369.0,10/12/2025 17:17
5086,Tom Brown,Meta Quest 4 VR Headset,VR,2,499,Camden,Debit,76075369.0,10/12/2025 17:17
5086,Tom Brown,Nintendo Switch 2,Gaming,1,399,Camden,Debit,76075369.0,10/12/2025 17:17
5087,Johnny Reed,Google Pixel 10 Pro,Phones,1,999,Ealing,Card,34957063.0,10/12/2025 17:25
5087,Johnny Reed,USB‑C 240W Cable,Accessories,1,29,Ealing,Card,34957063.0,10/12/2025 17:25
5088,John Smith,Samsung QD‑OLED S95D 55-inch,TV,1,1999,Oxford,Card,43018453.0,2025-12-10 17:35
5088,John Smith,Meta Quest 4 VR Headset,VR,2,499,Oxford,Card,43018453.0,2025-12-10 17:35
5089,Mark Davies,Elgato 4K Streaming Card,Accessories,2,249,Ealing,Debit,56553467.0,10-12-25 17:38
5089,Mark Davies,Google Pixel 10 Pro,Phones,1,999,Ealing,Debit,56553467.0,10-12-25 17:38
5089,Mark Davies,Nintendo Switch 2,Gaming,1,399,Ealing,Debit,,10-12-25 17:38
5089,Mark Davies,PlayStation 5 Pro Console,Gaming,1,699,Ealing,Debit,56553467.0,10-12-25 17:38
5090,Mark Davies,Dell XPS 14 OLED 2025,Laptops,1,1899,Oxford,Card,95948374.0,2025/12/10 17:45
5091,Alex Li,Dyson V16 Vacuum,Appliances,1,699,CamDn,Cash,,2025-12-10 17:55
5091,Alex Li,Dyson V16 Vacuum,Appliances,2,699,CamDn,Cash,,2025-12-10 17:55
5091,Alex Li,USB‑C 240W Cable,Accessories,2,29,CamDn,Cash,,2025-12-10 17:55
5091,Alex Li,Dyson V16 Vacuum,Appliances,1,699,CamDn,Cash,,2025-12-10 17:55
5092,Lisa Wong,PlayStation 5 Pro Console,Gaming,2,699,Camden,Card,38099058.0,10-12-25 18:01
5092,Lisa Wong,Nvidia RTX 5090 GPU,PC Components,1,1999,Camden,Card,38099058.0,10-12-25 18:01
5093,Alice Moore,MacBook Air M4,Laptops,2,1599,Soho,Debit,17009668.0,10-12-25 18:07
5093,Alice Moore,Nvidia RTX 5090 GPU,PC Components,2,1999,Soho,Debit,17009668.0,10-12-25 18:07
5093,Alice Moore,Google Pixel 10 Pro,Phones,1,999,Soho,Debit,17009668.0,10-12-25 18:07
5094,Mark Davies,Elgato 4K Streaming Card,Accessories,1,249,Camden,Card,85521415.0,2025-12-10 18:10
5094,Mark Davies,Bose QuietComfort Ultra,Audio,1,349,Camden,Card,85521415.0,2025-12-10 18:10
5095,Tom Brown,Elgato 4K Streaming Card,Accessories,2,249,Soho,Cash,,10-12-25 18:18
5095,Tom Brown,Canon EOS R9,Cameras,2,1999,Soho,Cash,,10-12-25 18:18
5095,Tom Brown,USB‑C 240W Cable,Accessories,1,29,Soho,Cash,,10-12-25 18:18
5096,Mark Davies,MacBook Air M4,Laptops,2,1599,Soho,Debit,22501664.0,2025-12-10 18:28
5097,Jacob Stone,Nvidia RTX 5090 GPU,PC Components,1,1999,Oxford,Cash,,2025/12/10 18:34
5097,Jacob Stone,Bose QuietComfort Ultra,Audio,2,349,Oxford,Cash,,2025/12/10 18:34
5097,Jacob Stone,USB‑C 240W Cable,Accessories,1,29,Oxford,Cash,,2025/12/10 18:34
5098,Tom Brown,MacBook Air M4,Laptops,1,1599,Ealing,Debit,15033142.0,10/12/2025 18:42
5099,Mark Davies,Elgato 4K Streaming Card,Accessories,2,249,Oxford,Debit,97874393.0,2025-12-10 18:46
5099,Mark Davies,MacBook Air M4,Laptops,2,1599,Oxford,Debit,97874393.0,2025-12-10 18:46
5099,Mark Davies,Meta Quest 4 VR Headset,VR,1,499,Oxford,Debit,97874393.0,2025-12-10 18:46
5099,Mark Davies,MacBook Pro M4 Pro,Laptops,1,2499,Oxford,Debit,97874393.0,2025-12-10 18:46
5100,Mia Johnson,MacBook Air M4,Laptops,1,1599,Camden,Debit,23673767.0,2025-12-10 18:48
5101,Tom Brown,Nintendo Switch 2,Gaming,1,399,Ealing,Credit,6266122.0,10/12/2025 18:50
5101,Tom Brown,Google Pixel 10 Pro,Phones,1,999,Ealing,Credit,6266122.0,10/12/2025 18:50
5102,,iPhone 17 Pro Max,Phones,2,1299,Camden,Cash,,10-12-25 18:52
